electron_density_m3,freq_ghz,transmission_coefficient
1e+17,0.1,0.0
1e+17,0.301,0.0
1e+17,0.501,0.0
1e+17,0.702,0.0
1e+17,0.902,0.0
1e+17,1.103,0.0
1e+17,1.303,0.0
1e+17,1.504,0.0
1e+17,1.704,0.0
1e+17,1.905,0.0
1e+17,2.105,0.0
1e+17,2.306,0.0
1e+17,2.506,0.0
1e+17,2.707,0.0
1e+17,2.907,0.05118
1e+17,3.108,0.20119
1e+17,3.308,0.36119
1e+17,3.509,0.5312
1e+17,3.709,0.7112
1e+17,3.91,0.90121
1e+17,4.11,1.0
1e+17,4.311,1.0
1e+17,4.511,1.0
1e+17,4.712,1.0
1e+17,4.912,1.0
1e+17,5.113,1.0
1e+17,5.313,1.0
1e+17,5.514,1.0
1e+17,5.714,1.0
1e+17,5.915,1.0
1e+17,6.115,1.0
1e+17,6.316,1.0
1e+17,6.516,1.0
1e+17,6.717,1.0
1e+17,6.917,1.0
1e+17,7.118,1.0
1e+17,7.318,1.0
1e+17,7.519,1.0
1e+17,7.719,1.0
1e+17,7.92,1.0
1e+17,8.12,1.0
1e+17,8.321,1.0
1e+17,8.521,1.0
1e+17,8.722,1.0
1e+17,8.922,1.0
1e+17,9.123,1.0
1e+17,9.323,1.0
1e+17,9.524,1.0
1e+17,9.724,1.0
1e+17,9.925,1.0
1e+17,10.125,1.0
1e+17,10.326,1.0
1e+17,10.526,1.0
1e+17,10.727,1.0
1e+17,10.927,1.0
1e+17,11.128,1.0
1e+17,11.328,1.0
1e+17,11.529,1.0
1e+17,11.729,1.0
1e+17,11.93,1.0
1e+17,12.13,1.0
1e+17,12.331,1.0
1e+17,12.531,1.0
1e+17,12.732,1.0
1e+17,12.932,1.0
1e+17,13.133,1.0
1e+17,13.333,1.0
1e+17,13.534,1.0
1e+17,13.734,1.0
1e+17,13.935,1.0
1e+17,14.135,1.0
1e+17,14.336,1.0
1e+17,14.536,1.0
1e+17,14.737,1.0
1e+17,14.937,1.0
1e+17,15.138,1.0
1e+17,15.338,1.0
1e+17,15.539,1.0
1e+17,15.739,1.0
1e+17,15.94,1.0
1e+17,16.14,1.0
1e+17,16.341,1.0
1e+17,16.541,1.0
1e+17,16.742,1.0
1e+17,16.942,1.0
1e+17,17.143,1.0
1e+17,17.343,1.0
1e+17,17.544,1.0
1e+17,17.744,1.0
1e+17,17.945,1.0
1e+17,18.145,1.0
1e+17,18.346,1.0
1e+17,18.546,1.0
1e+17,18.747,1.0
1e+17,18.947,1.0
1e+17,19.148,1.0
1e+17,19.348,1.0
1e+17,19.549,1.0
1e+17,19.749,1.0
1e+17,19.95,1.0
1e+17,20.15,1.0
1e+17,20.351,1.0
1e+17,20.551,1.0
1e+17,20.752,1.0
1e+17,20.952,1.0
1e+17,21.153,1.0
1e+17,21.353,1.0
1e+17,21.554,1.0
1e+17,21.754,1.0
1e+17,21.955,1.0
1e+17,22.155,1.0
1e+17,22.356,1.0
1e+17,22.556,1.0
1e+17,22.757,1.0
1e+17,22.957,1.0
1e+17,23.158,1.0
1e+17,23.358,1.0
1e+17,23.559,1.0
1e+17,23.759,1.0
1e+17,23.96,1.0
1e+17,24.16,1.0
1e+17,24.361,1.0
1e+17,24.561,1.0
1e+17,24.762,1.0
1e+17,24.962,1.0
1e+17,25.163,1.0
1e+17,25.363,1.0
1e+17,25.564,1.0
1e+17,25.764,1.0
1e+17,25.965,1.0
1e+17,26.165,1.0
1e+17,26.366,1.0
1e+17,26.566,1.0
1e+17,26.767,1.0
1e+17,26.967,1.0
1e+17,27.168,1.0
1e+17,27.368,1.0
1e+17,27.569,1.0
1e+17,27.769,1.0
1e+17,27.97,1.0
1e+17,28.17,1.0
1e+17,28.371,1.0
1e+17,28.571,1.0
1e+17,28.772,1.0
1e+17,28.972,1.0
1e+17,29.173,1.0
1e+17,29.373,1.0
1e+17,29.574,1.0
1e+17,29.774,1.0
1e+17,29.975,1.0
1e+17,30.175,1.0
1e+17,30.376,1.0
1e+17,30.576,1.0
1e+17,30.777,1.0
1e+17,30.977,1.0
1e+17,31.178,1.0
1e+17,31.378,1.0
1e+17,31.579,1.0
1e+17,31.779,1.0
1e+17,31.98,1.0
1e+17,32.18,1.0
1e+17,32.381,1.0
1e+17,32.581,1.0
1e+17,32.782,1.0
1e+17,32.982,1.0
1e+17,33.183,1.0
1e+17,33.383,1.0
1e+17,33.584,1.0
1e+17,33.784,1.0
1e+17,33.985,1.0
1e+17,34.185,1.0
1e+17,34.386,1.0
1e+17,34.586,1.0
1e+17,34.787,1.0
1e+17,34.987,1.0
1e+17,35.188,1.0
1e+17,35.388,1.0
1e+17,35.589,1.0
1e+17,35.789,1.0
1e+17,35.99,1.0
1e+17,36.19,1.0
1e+17,36.391,1.0
1e+17,36.591,1.0
1e+17,36.792,1.0
1e+17,36.992,1.0
1e+17,37.193,1.0
1e+17,37.393,1.0
1e+17,37.594,1.0
1e+17,37.794,1.0
1e+17,37.995,1.0
1e+17,38.195,1.0
1e+17,38.396,1.0
1e+17,38.596,1.0
1e+17,38.797,1.0
1e+17,38.997,1.0
1e+17,39.198,1.0
1e+17,39.398,1.0
1e+17,39.599,1.0
1e+17,39.799,1.0
1e+17,40.0,1.0
5e+17,0.1,0.0
5e+17,0.301,0.0
5e+17,0.501,0.0
5e+17,0.702,0.0
5e+17,0.902,0.0
5e+17,1.103,0.0
5e+17,1.303,0.0
5e+17,1.504,0.0
5e+17,1.704,0.0
5e+17,1.905,0.0
5e+17,2.105,0.0
5e+17,2.306,0.0
5e+17,2.506,0.0
5e+17,2.707,0.0
5e+17,2.907,0.0
5e+17,3.108,0.0
5e+17,3.308,0.0
5e+17,3.509,0.0
5e+17,3.709,0.0
5e+17,3.91,0.0
5e+17,4.11,0.0
5e+17,4.311,0.0
5e+17,4.511,0.0
5e+17,4.712,0.0
5e+17,4.912,0.0
5e+17,5.113,0.0
5e+17,5.313,0.0
5e+17,5.514,0.0
5e+17,5.714,0.0
5e+17,5.915,0.0
5e+17,6.115,0.0
5e+17,6.316,0.0
5e+17,6.516,0.05628
5e+17,6.717,0.12229
5e+17,6.917,0.19029
5e+17,7.118,0.2603
5e+17,7.318,0.3323
5e+17,7.519,0.40631
5e+17,7.719,0.48231
5e+17,7.92,0.56032
5e+17,8.12,0.64033
5e+17,8.321,0.72233
5e+17,8.521,0.80634
5e+17,8.722,0.89235
5e+17,8.922,0.98035
5e+17,9.123,1.0
5e+17,9.323,1.0
5e+17,9.524,1.0
5e+17,9.724,1.0
5e+17,9.925,1.0
5e+17,10.125,1.0
5e+17,10.326,1.0
5e+17,10.526,1.0
5e+17,10.727,1.0
5e+17,10.927,1.0
5e+17,11.128,1.0
5e+17,11.328,1.0
5e+17,11.529,1.0
5e+17,11.729,1.0
5e+17,11.93,1.0
5e+17,12.13,1.0
5e+17,12.331,1.0
5e+17,12.531,1.0
5e+17,12.732,1.0
5e+17,12.932,1.0
5e+17,13.133,1.0
5e+17,13.333,1.0
5e+17,13.534,1.0
5e+17,13.734,1.0
5e+17,13.935,1.0
5e+17,14.135,1.0
5e+17,14.336,1.0
5e+17,14.536,1.0
5e+17,14.737,1.0
5e+17,14.937,1.0
5e+17,15.138,1.0
5e+17,15.338,1.0
5e+17,15.539,1.0
5e+17,15.739,1.0
5e+17,15.94,1.0
5e+17,16.14,1.0
5e+17,16.341,1.0
5e+17,16.541,1.0
5e+17,16.742,1.0
5e+17,16.942,1.0
5e+17,17.143,1.0
5e+17,17.343,1.0
5e+17,17.544,1.0
5e+17,17.744,1.0
5e+17,17.945,1.0
5e+17,18.145,1.0
5e+17,18.346,1.0
5e+17,18.546,1.0
5e+17,18.747,1.0
5e+17,18.947,1.0
5e+17,19.148,1.0
5e+17,19.348,1.0
5e+17,19.549,1.0
5e+17,19.749,1.0
5e+17,19.95,1.0
5e+17,20.15,1.0
5e+17,20.351,1.0
5e+17,20.551,1.0
5e+17,20.752,1.0
5e+17,20.952,1.0
5e+17,21.153,1.0
5e+17,21.353,1.0
5e+17,21.554,1.0
5e+17,21.754,1.0
5e+17,21.955,1.0
5e+17,22.155,1.0
5e+17,22.356,1.0
5e+17,22.556,1.0
5e+17,22.757,1.0
5e+17,22.957,1.0
5e+17,23.158,1.0
5e+17,23.358,1.0
5e+17,23.559,1.0
5e+17,23.759,1.0
5e+17,23.96,1.0
5e+17,24.16,1.0
5e+17,24.361,1.0
5e+17,24.561,1.0
5e+17,24.762,1.0
5e+17,24.962,1.0
5e+17,25.163,1.0
5e+17,25.363,1.0
5e+17,25.564,1.0
5e+17,25.764,1.0
5e+17,25.965,1.0
5e+17,26.165,1.0
5e+17,26.366,1.0
5e+17,26.566,1.0
5e+17,26.767,1.0
5e+17,26.967,1.0
5e+17,27.168,1.0
5e+17,27.368,1.0
5e+17,27.569,1.0
5e+17,27.769,1.0
5e+17,27.97,1.0
5e+17,28.17,1.0
5e+17,28.371,1.0
5e+17,28.571,1.0
5e+17,28.772,1.0
5e+17,28.972,1.0
5e+17,29.173,1.0
5e+17,29.373,1.0
5e+17,29.574,1.0
5e+17,29.774,1.0
5e+17,29.975,1.0
5e+17,30.175,1.0
5e+17,30.376,1.0
5e+17,30.576,1.0
5e+17,30.777,1.0
5e+17,30.977,1.0
5e+17,31.178,1.0
5e+17,31.378,1.0
5e+17,31.579,1.0
5e+17,31.779,1.0
5e+17,31.98,1.0
5e+17,32.18,1.0
5e+17,32.381,1.0
5e+17,32.581,1.0
5e+17,32.782,1.0
5e+17,32.982,1.0
5e+17,33.183,1.0
5e+17,33.383,1.0
